Real time,Count rate,CR error,Offset: (cm)
2026.03.31  08.45.32,500m cps, ±28.3%,2.7
2026.03.31  08.47.08,458m cps, ±29.5%,
2026.03.31  08.48.44,510m cps, ±28.0%,
2026.03.31  08.50.00,571m cps, ±34.6%,
2026.03.31  08.50.27,554m cps, ±35.2%,
2026.03.31  08.50.29,4.31 cps, ±9.3%,
2026.03.31  08.51.20,4.64 cps, ±8.9%,
2026.03.31  08.53.00,4.61 cps, ±9.3%,
2026.03.31  08.54.36,5.18 cps, ±8.8%,
2026.03.31  08.56.12,5.16 cps, ±8.8%,
2026.03.31  08.57.48,5.03 cps, ±8.9%,
2026.03.31  08.59.24,5.26 cps, ±8.7%,
2026.03.31  09.01.00,4.99 cps, ±9.0%,
2026.03.31  09.02.36,5.08 cps, ±8.9%,
2026.03.31  09.04.12,5.23 cps, ±8.7%,
2026.03.31  09.05.48,5.05 cps, ±8.9%,
2026.03.31  09.07.24,4.88 cps, ±9.1%,
2026.03.31  09.09.00,5.43 cps, ±8.6%,
2026.03.31  09.10.36,5.48 cps, ±8.5%,
2026.03.31  09.12.12,5.19 cps, ±8.8%,
2026.03.31  09.13.48,4.76 cps, ±9.2%,
2026.03.31  09.15.24,5.1 cps, ±8.9%,
2026.03.31  09.17.00,5.58 cps, ±8.5%,
2026.03.31  09.18.36,4.97 cps, ±9.0%,
2026.03.31  09.20.12,5.23 cps, ±8.7%,
2026.03.31  09.21.48,4.74 cps, ±9.2%,
2026.03.31  09.23.24,5.61 cps, ±8.4%,
2026.03.31  09.25.00,5.34 cps, ±8.7%,
2026.03.31  09.26.36,4.96 cps, ±9.0%,
2026.03.31  09.28.12,5.17 cps, ±8.8%,
2026.03.31  09.29.48,5.09 cps, ±8.9%,
2026.03.31  09.31.24,5.12 cps, ±8.8%,
2026.03.31  09.33.00,5.22 cps, ±8.8%,
2026.03.31  09.34.36,4.9 cps, ±9.0%,
2026.03.31  09.36.12,4.99 cps, ±9.0%,
2026.03.31  09.37.48,4.93 cps, ±9.0%,
2026.03.31  09.39.24,5.4 cps, ±8.6%,
2026.03.31  09.40.59,4.93 cps, ±9.0%,
2026.03.31  09.42.35,4.92 cps, ±9.0%,
2026.03.31  09.44.11,5.18 cps, ±8.8%,
2026.03.31  09.45.47,5 cps, ±8.9%,
2026.03.31  09.47.23,4.95 cps, ±9.0%,
2026.03.31  09.48.59,5.49 cps, ±8.5%,
2026.03.31  09.50.35,5.22 cps, ±8.8%,
2026.03.31  09.52.11,5.33 cps, ±8.7%,
2026.03.31  09.53.47,4.83 cps, ±9.1%,
2026.03.31  09.55.23,5.44 cps, ±8.6%,
2026.03.31  09.56.59,4.83 cps, ±9.1%,
2026.03.31  09.58.35,4.98 cps, ±9.0%,
2026.03.31  10.00.11,4.97 cps, ±9.0%,
2026.03.31  10.01.47,5.16 cps, ±8.8%,
2026.03.31  10.03.23,5.11 cps, ±8.8%,
2026.03.31  10.04.59,4.65 cps, ±9.3%,
2026.03.31  10.06.35,5.2 cps, ±8.8%,
2026.03.31  10.08.11,5.03 cps, ±8.9%,
2026.03.31  10.09.47,5.31 cps, ±8.7%,
2026.03.31  10.11.23,5.29 cps, ±8.7%,
2026.03.31  10.12.59,4.9 cps, ±9.0%,
2026.03.31  10.14.35,5.27 cps, ±8.7%,
2026.03.31  10.16.11,4.77 cps, ±9.2%,
2026.03.31  10.17.47,4.74 cps, ±9.2%,
2026.03.31  10.19.23,5.11 cps, ±8.8%,
2026.03.31  10.20.59,5.1 cps, ±8.9%,
2026.03.31  10.22.35,5.2 cps, ±8.8%,
2026.03.31  10.24.11,5.03 cps, ±8.9%,
2026.03.31  10.25.47,4.92 cps, ±9.0%,
2026.03.31  10.27.23,5.03 cps, ±8.9%,
2026.03.31  10.28.59,4.99 cps, ±9.0%,
2026.03.31  10.30.35,5.03 cps, ±8.9%,
2026.03.31  10.32.11,5.03 cps, ±8.9%,
2026.03.31  10.33.47,4.64 cps, ±9.3%,
2026.03.31  10.35.23,4.91 cps, ±9.0%,
2026.03.31  10.36.59,5.02 cps, ±8.9%,
2026.03.31  10.38.35,5.39 cps, ±8.6%,
2026.03.31  10.40.11,5.05 cps, ±8.9%,
2026.03.31  10.41.47,5.29 cps, ±8.7%,
2026.03.31  10.43.23,4.86 cps, ±9.1%,
2026.03.31  10.44.59,5.19 cps, ±8.8%,
2026.03.31  10.46.35,4.91 cps, ±9.0%,
2026.03.31  10.48.11,5.03 cps, ±8.9%,
2026.03.31  10.49.47,4.89 cps, ±9.1%,
2026.03.31  10.51.23,5.2 cps, ±8.8%,
2026.03.31  10.52.59,5.17 cps, ±8.8%,
2026.03.31  10.54.35,5.1 cps, ±8.9%,
2026.03.31  10.56.11,4.84 cps, ±9.1%,
2026.03.31  10.57.47,5.21 cps, ±8.8%,
