Real time,Count rate,CR error,Comment
2026.04.07  16.16.55,4.2 cps, ±9.8%,""
2026.04.07  16.17.43,3.56 cps, ±10.6%,""
2026.04.07  16.19.19,3.28 cps, ±11.0%,""
2026.04.07  16.20.55,3.43 cps, ±10.8%,""
2026.04.07  16.22.31,3.2 cps, ±11.2%,""
2026.04.07  16.24.07,3.67 cps, ±10.4%,""
2026.04.07  16.25.43,3.44 cps, ±10.8%,""
2026.04.07  16.27.19,3.25 cps, ±11.1%,""
2026.04.07  16.28.55,3.42 cps, ±10.8%,""
2026.04.07  16.30.31,3.23 cps, ±11.1%,""
2026.04.07  16.32.07,3.62 cps, ±10.5%,""
2026.04.07  16.33.43,3.48 cps, ±10.7%,""
2026.04.07  16.33.58,,,""
2026.04.07  16.35.19,3.8 cps, ±10.3%,""
2026.04.07  16.36.55,3.71 cps, ±10.4%,""
2026.04.07  16.38.31,3.42 cps, ±10.8%,""
2026.04.07  16.40.07,3.23 cps, ±11.1%,""
2026.04.07  16.41.43,3.77 cps, ±10.3%,""
2026.04.07  16.43.19,3.34 cps, ±10.9%,""
2026.04.07  16.44.55,3.55 cps, ±10.6%,""
2026.04.07  16.46.31,3.48 cps, ±10.7%,""
2026.04.07  16.48.07,3.47 cps, ±10.7%,""
2026.04.07  16.49.43,3.78 cps, ±10.3%,""
2026.04.07  16.51.19,3.36 cps, ±10.9%,""
2026.04.07  16.52.09,,,""
2026.04.07  16.52.55,3.61 cps, ±10.5%,""
2026.04.07  16.54.31,3.67 cps, ±10.4%,""
2026.04.07  16.56.07,3.67 cps, ±10.4%,""
2026.04.07  16.57.43,3.06 cps, ±11.4%,""
2026.04.07  16.59.19,3.81 cps, ±10.2%,""
2026.04.07  17.00.55,3.23 cps, ±11.1%,""
2026.04.07  17.01.57,,,""
2026.04.07  17.02.31,3.29 cps, ±11.0%,""
2026.04.07  17.04.07,3.14 cps, ±11.3%,""
2026.04.07  17.05.43,3.06 cps, ±11.4%,""
2026.04.07  17.07.19,3.82 cps, ±10.2%,""
2026.04.07  17.08.55,3.8 cps, ±10.3%,""
2026.04.07  17.10.31,3.46 cps, ±10.8%,""
2026.04.07  17.12.07,3.31 cps, ±11.0%,""
2026.04.07  17.13.43,3.62 cps, ±10.5%,""
2026.04.07  17.15.19,3.26 cps, ±11.1%,""
2026.04.07  17.16.55,3.3 cps, ±11.0%,""
2026.04.07  17.18.31,3.4 cps, ±10.9%,""
2026.04.07  17.20.07,3.67 cps, ±10.4%,""
2026.04.07  17.21.43,3.07 cps, ±11.4%,""
2026.04.07  17.23.19,3.7 cps, ±10.4%,""
2026.04.07  17.24.55,3.44 cps, ±10.8%,""
2026.04.07  17.26.31,3.52 cps, ±10.7%,""
2026.04.07  17.28.07,3.43 cps, ±10.8%,""
2026.04.07  17.29.40,,,""
2026.04.07  17.29.43,3.1 cps, ±11.4%,""
2026.04.07  17.31.19,3.53 cps, ±10.6%,""
2026.04.07  17.32.55,3.65 cps, ±10.5%,""
2026.04.07  17.34.31,3.19 cps, ±11.2%,""
2026.04.07  17.36.07,3.65 cps, ±10.5%,""
2026.04.07  17.37.43,3.49 cps, ±10.7%,""
2026.04.07  17.37.57,,,""
2026.04.07  17.39.19,3.49 cps, ±10.7%,""
2026.04.07  17.40.55,3.41 cps, ±10.8%,""
2026.04.07  17.42.31,3.48 cps, ±10.7%,""
2026.04.07  17.44.07,3.55 cps, ±10.6%,""
2026.04.07  17.45.43,3.83 cps, ±10.2%,""
2026.04.07  17.47.19,3.26 cps, ±11.1%,""
2026.04.07  17.48.55,3.66 cps, ±10.5%,""
2026.04.07  17.50.31,3.59 cps, ±10.6%,""
2026.04.07  17.52.07,3.78 cps, ±10.3%,""
2026.04.07  17.53.43,3.35 cps, ±10.9%,""
2026.04.07  17.55.19,3.61 cps, ±10.5%,""
2026.04.07  17.56.55,3.64 cps, ±10.5%,""
2026.04.07  17.58.31,3.56 cps, ±10.6%,""
2026.04.07  18.00.07,3.34 cps, ±10.9%,""
2026.04.07  18.01.43,3.53 cps, ±10.6%,""
2026.04.07  18.03.19,3.44 cps, ±10.8%,""
2026.04.07  18.04.55,3.61 cps, ±10.5%,""
2026.04.07  18.06.31,3.45 cps, ±10.8%,""
