Real time,Count rate,CR error,Offset (cm)
2026.04.07  13.14.33,5.7 cps, ±8.4%,3
2026.04.07  13.16.09,5.51 cps, ±8.5%,
2026.04.07  13.17.45,5.75 cps, ±8.3%,
2026.04.07  13.19.09,,,
2026.04.07  13.19.21,6.05 cps, ±8.1%,
2026.04.07  13.20.16,,,
2026.04.07  13.20.57,6.01 cps, ±8.2%,
2026.04.07  13.22.33,5.34 cps, ±8.7%,
2026.04.07  13.24.09,5.35 cps, ±8.6%,
2026.04.07  13.25.45,5.24 cps, ±8.7%,
2026.04.07  13.27.21,5.93 cps, ±8.2%,
2026.04.07  13.28.57,5.25 cps, ±8.7%,
2026.04.07  13.30.33,5.24 cps, ±8.7%,
2026.04.07  13.32.09,5.38 cps, ±8.6%,
2026.04.07  13.33.45,5.85 cps, ±8.3%,
2026.04.07  13.35.21,5.55 cps, ±8.5%,
2026.04.07  13.36.57,5.28 cps, ±8.7%,
2026.04.07  13.38.33,5.88 cps, ±8.3%,
2026.04.07  13.40.09,4.91 cps, ±9.0%,
2026.04.07  13.41.45,5.53 cps, ±8.5%,
2026.04.07  13.43.04,,,
2026.04.07  13.43.16,,,
2026.04.07  13.43.21,5.49 cps, ±8.5%,
2026.04.07  13.44.57,5.69 cps, ±8.4%,
2026.04.07  13.46.33,5.9 cps, ±8.2%,
2026.04.07  13.48.09,5.67 cps, ±8.4%,
2026.04.07  13.49.45,5.66 cps, ±8.4%,
2026.04.07  13.51.21,5.7 cps, ±8.4%,
2026.04.07  13.52.57,5.65 cps, ±8.4%,
2026.04.07  13.54.33,5.62 cps, ±8.4%,
2026.04.07  13.56.09,5.98 cps, ±8.2%,
2026.04.07  13.57.45,5.6 cps, ±8.5%,
2026.04.07  13.59.21,5.67 cps, ±8.4%,
2026.04.07  14.00.57,5.66 cps, ±8.4%,
2026.04.07  14.02.33,5.73 cps, ±8.4%,
2026.04.07  14.04.09,5.32 cps, ±8.7%,
2026.04.07  14.05.16,,,
2026.04.07  14.05.35,,,
2026.04.07  14.05.45,5.19 cps, ±8.8%,
2026.04.07  14.07.21,5.22 cps, ±8.8%,
