Real time,Count rate,CR error,Offset: 3.0 cm
2026.04.07  13.14.33,5.7 cps, ±8.4%,
2026.04.07  13.16.09,5.51 cps, ±8.5%,
2026.04.07  13.17.45,5.75 cps, ±8.3%,
2026.04.07  13.19.09,,,
2026.04.07  13.19.21,6.05 cps, ±8.1%,
2026.04.07  13.20.16,,,
2026.04.07  13.20.57,6.01 cps, ±8.2%,
2026.04.07  13.22.33,5.34 cps, ±8.7%,
2026.04.07  13.24.09,5.35 cps, ±8.6%,
2026.04.07  13.25.45,5.24 cps, ±8.7%,
2026.04.07  13.27.21,5.93 cps, ±8.2%,
2026.04.07  13.28.57,5.25 cps, ±8.7%,
2026.04.07  13.30.33,5.24 cps, ±8.7%,
2026.04.07  13.32.09,5.38 cps, ±8.6%,
2026.04.07  13.33.45,5.85 cps, ±8.3%,
2026.04.07  13.35.21,5.55 cps, ±8.5%,
2026.04.07  13.36.57,5.28 cps, ±8.7%,
2026.04.07  13.38.33,5.88 cps, ±8.3%,
2026.04.07  13.40.09,4.91 cps, ±9.0%,
