Rolls:,,,New Exp 1: roll 2 D20. Suc: +11,,,New Exp 2: roll 2 D20. Suc: +16,,,New Exp 3: roll 2 D4. Suc: 4,,,,Old Exp 3: roll Space 1D20+1D4,
Trans. D20:,Space,,Space D20,Trans. D20:,,Space D20,Trans. D20:,,Space D4:,Trans. D4:,,,D20:,D4:
12,1,TRUE,,,,,,,,,,,15,3
9,12,TRUE,,,,,,,,,,,10,1
17,16,TRUE,,,,,,,,,,,6,3
11,4,FALSE,,,,,,,,,,,13,1
5,5,FALSE,,,,,,,,,,,10,3
14,15,TRUE,,,,,,,,,,,15,4
5,8,FALSE,,,,,,,,,,,19,4
20,8,TRUE,,,,,,,,,,,16,3
5,13,TRUE,,,,,,,,,,,15,2
16,16,TRUE,,,,,,,,,,,5,1
10,4,FALSE,,,,,,,,,,,19,2
14,4,TRUE,,,,,,,,,,,8,3
17,9,TRUE,,,,,,,,,,,8,1
15,18,TRUE,,,,,,,,,,,20,2
4,12,TRUE,,,,,,,,,,,12,4
11,12,TRUE,,,,,,,,,,,20,4
11,8,FALSE,,,,,,,,,,,7,3
5,7,FALSE,,,,,,,,,,,7,3
3,7,FALSE,,,,,,,,,,,5,3
20,2,TRUE,,,,,,,,,,,6,2
1,15,TRUE,,,,,,,,,,,11,4
3,4,FALSE,,,,,,,,,,,16,2
2,20,TRUE,,,,,,,,,,,7,2
6,12,TRUE,,,,,,,,,,,3,2
7,6,FALSE,,,,,,,,,,,3,1
2,9,FALSE,,,,,,,,,,,15,3
1,1,FALSE,,,,,,,,,,,17,3
8,7,FALSE,,,,,,,,,,,13,2
8,7,FALSE,,,,,,,,,,,9,4
1,10,FALSE,,,,,,,,,,,10,3
6,12,TRUE,,,,,,,,,,,7,3
14,16,TRUE,,,,,,,,,,,11,4
18,4,TRUE,,,,,,,,,,,2,5
14,10,TRUE,,,,,,,,,,,11,2
17,20,TRUE,,,,,,,,,,,3,4
7,6,FALSE,,,,,,,,,,,11,1
1,15,TRUE,,,,,,,,,,,4,2
16,16,TRUE,,,,,,,,,,,3,4
11,13,TRUE,,,,,,,,,,,14,3
8,16,TRUE,,,,,,,,,,,1,1
16,13,TRUE,,,,,,,,,,,7,2
5,9,FALSE,,,,,,,,,,,13,3
6,8,FALSE,,,,,,,,,,,5,1
20,5,TRUE,,,,,,,,,,,10,3
13,15,TRUE,,,,,,,,,,,17,1
10,16,TRUE,,,,,,,,,,,8,3
12,4,TRUE,,,,,,,,,,,1,4
17,4,TRUE,,,,,,,,,,,16,4
12,14,TRUE,,,,,,,,,,,1,1
4,2,FALSE,,,,,,,,,,,7,2
11,8,FALSE,,,,,,,,,,,18,2
18,8,TRUE,,,,,,,,,,,10,4
16,6,TRUE,,,,,,,,,,,3,4
16,12,TRUE,,,,,,,,,,,18,2
15,19,TRUE,,,,,,,,,,,11,2
2,16,TRUE,,,,,,,,,,,17,4
8,14,TRUE,,,,,,,,,,,13,3
10,8,FALSE,,,,,,,,,,,6,1
2,1,FALSE,,,,,,,,,,,1,4
16,14,TRUE,,,,,,,,,,,18,2
2,12,TRUE,,,,,,,,,,,17,2
14,15,TRUE,,,,,,,,,,,7,2
19,16,TRUE,,,,,,,,,,,19,3
4,8,FALSE,,,,,,,,,,,9,2
6,18,TRUE,,,,,,,,,,,4,3
13,7,TRUE,,,,,,,,,,,1,2
18,17,TRUE,,,,,,,,,,,10,4
11,7,FALSE,,,,,,,,,,,7,1
11,1,FALSE,,,,,,,,,,,6,1
9,16,TRUE,,,,,,,,,,,6,2
19,2,TRUE,,,,,,,,,,,1,2
10,15,TRUE,,,,,,,,,,,1,4
20,4,TRUE,,,,,,,,,,,8,3
1,19,TRUE,,,,,,,,,,,5,2
18,2,TRUE,,,,,,,,,,,5,1
1,5,FALSE,,,,,,,,,,,11,3
20,18,TRUE,,,,,,,,,,,,
14,2,TRUE,,,,,,,,,,,,
5,6,FALSE,,,,,,,,,,,,
1,15,TRUE,,,,,,,,,,,,
4,8,FALSE,,,,,,,,,,,,
19,4,TRUE,,,,,,,,,,,,
13,5,TRUE,,,,,,,,,,,,
13,16,TRUE,,,,,,,,,,,,
1,2,FALSE,,,,,,,,,,,,
16,4,TRUE,,,,,,,,,,,,
18,18,TRUE,,,,,,,,,,,,
11,11,FALSE,,,,,,,,,,,,
1,14,TRUE,,,,,,,,,,,,
7,11,FALSE,,,,,,,,,,,,
20,9,TRUE,,,,,,,,,,,,
12,15,TRUE,,,,,,,,,,,,
6,4,FALSE,,,,,,,,,,,,
2,10,FALSE,,,,,,,,,,,,
6,6,FALSE,,,,,,,,,,,,
18,1,TRUE,,,,,,,,,,,,
14,1,TRUE,,,,,,,,,,,,
1,11,FALSE,,,,,,,,,,,,
8,2,FALSE,,,,,,,,,,,,
19,5,TRUE,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Number of Successes:,,,,,,,,,,,,
,,65,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Number of Failures:,,,,,,,,,,,,
