x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
4.71,4.58,4.67,4.6,4.69,4.6,4.6,4.62,4.65,4.74,4.64,4.62,4.54,4.54,4.6,4.75,4.62,4.54,4.59,4.62
4.6,4.65,4.63,4.74,4.57,4.59,4.68,4.7,4.74,4.6,4.64,4.64,4.61,4.66,4.47,4.64,4.62,4.69,4.64,4.74
4.63,4.71,4.59,4.7,4.53,4.67,4.64,4.67,4.62,4.71,4.58,4.65,4.72,4.62,4.64,4.51,4.75,4.61,4.64,4.66
4.67,4.54,4.66,4.67,4.61,4.76,4.62,4.61,4.64,4.61,4.56,4.66,4.6,4.66,4.68,4.69,4.7,4.68,4.68,4.6
4.67,4.66,4.58,4.63,4.66,4.55,4.68,4.68,4.68,4.6,4.69,4.72,4.59,4.65,4.74,4.74,4.65,4.65,4.7,4.64
4.61,4.65,4.67,4.58,4.59,4.66,4.62,4.7,4.69,4.72,4.57,4.66,4.67,4.58,4.67,4.74,4.58,4.67,4.58,4.67
4.74,4.65,4.58,4.64,4.7,4.68,4.63,4.65,4.74,4.63,4.62,4.7,4.61,4.68,4.63,4.65,4.63,4.6,4.64,4.69
4.64,4.75,4.75,4.69,4.61,4.56,4.66,4.73,4.52,4.56,4.71,4.65,4.65,4.53,4.61,4.68,4.67,4.65,4.74,4.6
4.67,4.76,4.6,4.68,4.69,4.7,4.62,4.67,4.6,4.56,4.65,4.63,4.67,4.57,4.62,4.63,4.62,4.59,4.7,4.71
4.76,4.62,4.79,4.53,4.77,4.56,4.62,4.54,4.8,4.64,4.68,4.6,4.63,4.63,4.57,4.66,4.7,4.69,4.69,4.57
4.7,4.67,4.59,4.65,4.72,4.59,4.68,4.73,4.69,4.54,4.69,4.66,4.65,4.73,4.74,4.64,4.67,4.63,4.63,4.5
4.62,4.66,4.67,4.57,4.7,4.71,4.63,4.67,4.57,4.7,4.64,4.64,4.68,4.69,4.68,4.62,4.7,4.64,4.57,4.6
4.63,4.61,4.66,4.71,4.65,4.63,4.6,4.69,4.64,4.54,4.64,4.6,4.61,4.59,4.55,4.55,4.81,4.57,4.59,4.57
4.7,4.69,4.7,4.62,4.55,4.76,4.71,4.67,4.75,4.68,4.52,4.73,4.62,4.66,4.63,4.63,4.65,4.6,4.73,4.69
4.63,4.76,4.64,4.67,4.69,4.58,4.68,4.54,4.59,4.63,4.71,4.54,4.53,4.68,4.75,4.72,4.66,4.65,4.61,4.68
4.76,4.7,4.55,4.66,4.61,4.68,4.64,4.64,4.67,4.63,4.67,4.76,4.66,4.69,4.59,4.71,4.66,4.6,4.71,4.69
4.63,4.67,4.61,4.51,4.58,4.6,4.58,4.61,4.69,4.64,4.66,4.66,4.69,4.56,4.71,4.69,4.7,4.68,4.62,4.67
4.69,4.64,4.64,4.52,4.57,4.78,4.65,4.65,4.71,4.6,4.58,4.64,4.58,4.6,4.73,4.66,4.69,4.56,4.57,4.69
4.67,4.64,4.62,4.5,4.6,4.67,4.63,4.59,4.55,4.65,4.63,4.57,4.58,4.7,4.78,4.71,4.55,4.59,4.69,4.63
4.55,4.52,4.64,4.69,4.59,4.51,4.64,4.7,4.55,4.52,4.48,4.64,4.67,4.57,4.54,4.74,4.61,4.63,4.59,4.68
